# dataset  anow
0 0.02173900
1 0.03326500
2 0.04302600
3 0.05177300
4 0.05983000
5 0.06737500
6 0.07451700
9 0.09417700
10 0.10027900
12 0.11196300
13 0.11758200
15 0.12843999
16 0.13370200
17 0.13886300
18 0.14393200
19 0.14891499
21 0.15864500
22 0.16340300
23 0.16809399
24 0.17272200
26 0.18180500
27 0.18626601
28 0.19067600
31 0.20362800
34 0.21620300
35 0.22031900
36 0.22440000
37 0.22844701
38 0.23246200
39 0.23644599
40 0.24039900
41 0.24432300
42 0.24821900
43 0.25208801
44 0.25593099
45 0.25974801
47 0.26731101
48 0.27105799
49 0.27478200
51 0.28216800
53 0.28947300
54 0.29309699
55 0.29670200
56 0.30028999
57 0.30386001
59 0.31095099
60 0.31447199
61 0.31797799
63 0.32494599
64 0.32840800
65 0.33185601
66 0.33529100
67 0.33871299
68 0.34212199
69 0.34551901
71 0.35227701
72 0.35563901
73 0.35899001
75 0.36566001
76 0.36897901
78 0.37558800
79 0.37887901
80 0.38216001
81 0.38543200
82 0.38869500
83 0.39195099
86 0.40166700
87 0.40489101
88 0.40810701
91 0.41771299
93 0.42408401
95 0.43043000
96 0.43359500
98 0.43990600
100 0.44619599
101 0.44933301
102 0.45246500
103 0.45559299
105 0.46183401
106 0.46494901
107 0.46805900
108 0.47116500
109 0.47426701
111 0.48045999
112 0.48355201
114 0.48972401
115 0.49280599
116 0.49588400
117 0.49895999
118 0.50203198
119 0.50510299
120 0.50817001
121 0.51123601
122 0.51429898
123 0.51735902
125 0.52347499
127 0.52958202
128 0.53263402
129 0.53568298
133 0.54786903
134 0.55091202
135 0.55395401
136 0.55699599
137 0.56003600
138 0.56307602
139 0.56611502
140 0.56915402
141 0.57219201
142 0.57523000
143 0.57826799
144 0.58130503
145 0.58434200
146 0.58737898
148 0.59345400
149 0.59649199
150 0.59952903
151 0.60256797
152 0.60560602
153 0.60864598
154 0.61168498
155 0.61472601
156 0.61776698
157 0.62080902
158 0.62385201
159 0.62689602
161 0.63298601
162 0.63603401
163 0.63908201
164 0.64213198
165 0.64518303
166 0.64823598
169 0.65740299
171 0.66352201
172 0.66658503
173 0.66965002
174 0.67271602
175 0.67578501
176 0.67885602
178 0.68500400
179 0.68808198
180 0.69116098
183 0.70041502
184 0.70350498
188 0.71589202
189 0.71899599
190 0.72210300
191 0.72521299
192 0.72832602
193 0.73144197
194 0.73456103
195 0.73768300
196 0.74080902
197 0.74393898
198 0.74707103
199 0.75020701
200 0.75334698
201 0.75648999
203 0.76278698
205 0.76909900
207 0.77542597
208 0.77859598
210 0.78494799
211 0.78812999
213 0.79450601
215 0.80089903
216 0.80410200
218 0.81052202
222 0.82341599
223 0.82665098
224 0.82989103
225 0.83313602
226 0.83638501
227 0.83964002
228 0.84289998
229 0.84616500
230 0.84943402
231 0.85270900
233 0.85927403
234 0.86256403
235 0.86585999
237 0.87246799
238 0.87577999
239 0.87909698
241 0.88574898
243 0.89242297
244 0.89576900
247 0.90584099
248 0.90921003
249 0.91258502
250 0.91596597
251 0.91935301
253 0.92614502
254 0.92955101
255 0.93296403
256 0.93638098
257 0.93980598
258 0.94323701
259 0.94667399
260 0.95011801
261 0.95356798
263 0.96048802
264 0.96395898
265 0.96743602
269 0.98141098
270 0.98492199
271 0.98843998
273 0.99549699
274 0.99903703
