# dataset  anow
0 0.0625423207
1 0.0697435265
2 0.0770403364
3 0.0819350757
4 0.0871408012
5 0.0935597132
6 0.0999766069
7 0.1053257200
8 0.1109610310
9 0.1163452630
10 0.1214140940
11 0.1267037610
12 0.1322238830
13 0.1373322330
14 0.1426379410
15 0.1481486300
16 0.1538722190
17 0.1605759930
18 0.1667797020
19 0.1724042430
20 0.1782184680
21 0.1833579060
22 0.1886455530
23 0.1940856860
24 0.1996827000
25 0.2054411200
26 0.2113656000
27 0.2164329690
28 0.2226744310
29 0.2290958830
30 0.2357025160
31 0.2424996700
32 0.2494928390
33 0.2566876760
34 0.2628416160
35 0.2691430940
36 0.2755956460
37 0.2822028940
38 0.2889685470
39 0.2958964030
40 0.3029903500
41 0.3102543700
42 0.3176925410
43 0.3253090390
44 0.3331081370
45 0.3410942140
46 0.3492717530
47 0.3576453430
48 0.3662196860
49 0.3749995940
50 0.3839899950
51 0.3931959350
52 0.4026225830
53 0.4122752290
54 0.4221592920
55 0.4343334590
56 0.4426439940
57 0.4554088950
58 0.4663270630
59 0.4775069880
60 0.4889549450
61 0.5006773600
62 0.5126808130
63 0.5249720430
64 0.5375579480
65 0.5504455920
66 0.5636422100
67 0.5771552100
68 0.5909921770
69 0.6051608760
70 0.6196692620
71 0.6345254790
72 0.6497378640
73 0.6653149580
74 0.6812655040
75 0.6975984550
76 0.7143229790
77 0.7314484640
78 0.7489845230
79 0.7705836270
80 0.7890579290
81 0.8079751420
82 0.8273458840
83 0.8471810280
84 0.8674917090
85 0.8882893270
86 0.9095855560
87 0.9313923500
88 0.9537219490
89 0.9765868880
90 1.0000000000
